date,link,questionFrontendId,titleSlug,title,difficulty,isPaidOnly,topicTags
01/04/2020,https://leetcode.com/problems/single-number/,136,single-number,Single Number,Easy,,"Array, Bit Manipulation"
02/04/2020,https://leetcode.com/problems/happy-number/,202,happy-number,Happy Number,Easy,,"Hash Table, Math, Two Pointers"
03/04/2020,https://leetcode.com/problems/maximum-subarray/,53,maximum-subarray,Maximum Subarray,Medium,,"Array, Divide and Conquer, Dynamic Programming"
04/04/2020,https://leetcode.com/problems/move-zeroes/,283,move-zeroes,Move Zeroes,Easy,,"Array, Two Pointers"
05/04/2020,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,122,best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,,"Array, Dynamic Programming, Greedy"
06/04/2020,https://leetcode.com/problems/group-anagrams/,49,group-anagrams,Group Anagrams,Medium,,"Array, Hash Table, String, Sorting"
07/04/2020,https://leetcode.com/problems/counting-elements/,1426,counting-elements,Counting Elements,Easy,!!!,"Array, Hash Table"
08/04/2020,https://leetcode.com/problems/middle-of-the-linked-list/,876,middle-of-the-linked-list,Middle of the Linked List,Easy,,"Linked List, Two Pointers"
09/04/2020,https://leetcode.com/problems/backspace-string-compare/,844,backspace-string-compare,Backspace String Compare,Easy,,"Two Pointers, String, Stack, Simulation"
10/04/2020,https://leetcode.com/problems/min-stack/,155,min-stack,Min Stack,Medium,,"Stack, Design"
11/04/2020,https://leetcode.com/problems/diameter-of-binary-tree/,543,diameter-of-binary-tree,Diameter of Binary Tree,Easy,,"Tree, Depth-First Search, Binary Tree"
12/04/2020,https://leetcode.com/problems/last-stone-weight/,1046,last-stone-weight,Last Stone Weight,Easy,,"Array, Heap (Priority Queue)"
13/04/2020,https://leetcode.com/problems/contiguous-array/,525,contiguous-array,Contiguous Array,Medium,,"Array, Hash Table, Prefix Sum"
14/04/2020,https://leetcode.com/problems/perform-string-shifts/,1427,perform-string-shifts,Perform String Shifts,Easy,!!!,"Array, Math, String"
15/04/2020,https://leetcode.com/problems/product-of-array-except-self/,238,product-of-array-except-self,Product of Array Except Self,Medium,,"Array, Prefix Sum"
16/04/2020,https://leetcode.com/problems/valid-parenthesis-string/,678,valid-parenthesis-string,Valid Parenthesis String,Medium,,"String, Dynamic Programming, Stack, Greedy"
17/04/2020,https://leetcode.com/problems/number-of-islands/,200,number-of-islands,Number of Islands,Medium,,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
18/04/2020,https://leetcode.com/problems/minimum-path-sum/,64,minimum-path-sum,Minimum Path Sum,Medium,,"Array, Dynamic Programming, Matrix"
19/04/2020,https://leetcode.com/problems/search-in-rotated-sorted-array/,33,search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,,"Array, Binary Search"
20/04/2020,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/,1008,construct-binary-search-tree-from-preorder-traversal,Construct Binary Search Tree from Preorder Traversal,Medium,,"Array, Stack, Tree, Binary Search Tree, Monotonic Stack, Binary Tree"
21/04/2020,https://leetcode.com/problems/leftmost-column-with-at-least-a-one/,1428,leftmost-column-with-at-least-a-one,Leftmost Column with at Least a One,Medium,!!!,"Array, Binary Search, Matrix, Interactive"
22/04/2020,https://leetcode.com/problems/subarray-sum-equals-k/,560,subarray-sum-equals-k,Subarray Sum Equals K,Medium,,"Array, Hash Table, Prefix Sum"
23/04/2020,https://leetcode.com/problems/bitwise-and-of-numbers-range/,201,bitwise-and-of-numbers-range,Bitwise AND of Numbers Range,Medium,,Bit Manipulation
24/04/2020,https://leetcode.com/problems/lru-cache/,146,lru-cache,LRU Cache,Medium,,"Hash Table, Linked List, Design, Doubly-Linked List"
25/04/2020,https://leetcode.com/problems/jump-game/,55,jump-game,Jump Game,Medium,,"Array, Dynamic Programming, Greedy"
26/04/2020,https://leetcode.com/problems/longest-common-subsequence/,1143,longest-common-subsequence,Longest Common Subsequence,Medium,,"String, Dynamic Programming"
27/04/2020,https://leetcode.com/problems/maximal-square/,221,maximal-square,Maximal Square,Medium,,"Array, Dynamic Programming, Matrix"
28/04/2020,https://leetcode.com/problems/first-unique-number/,1429,first-unique-number,First Unique Number,Medium,!!!,"Array, Hash Table, Design, Queue, Data Stream"
29/04/2020,https://leetcode.com/problems/binary-tree-maximum-path-sum/,124,binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
30/04/2020,https://leetcode.com/problems/check-if-a-string-is-a-valid-sequence-from-root-to-leaves-path-in-a-binary-tree/,1430,check-if-a-string-is-a-valid-sequence-from-root-to-leaves-path-in-a-binary-tree,Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,Medium,!!!,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
01/05/2020,https://leetcode.com/problems/first-bad-version/,278,first-bad-version,First Bad Version,Easy,,"Binary Search, Interactive"
02/05/2020,https://leetcode.com/problems/jewels-and-stones/,771,jewels-and-stones,Jewels and Stones,Easy,,"Hash Table, String"
03/05/2020,https://leetcode.com/problems/ransom-note/,383,ransom-note,Ransom Note,Easy,,"Hash Table, String, Counting"
04/05/2020,https://leetcode.com/problems/number-complement/,476,number-complement,Number Complement,Easy,,Bit Manipulation
05/05/2020,https://leetcode.com/problems/first-unique-character-in-a-string/,387,first-unique-character-in-a-string,First Unique Character in a String,Easy,,"Hash Table, String, Queue, Counting"
06/05/2020,https://leetcode.com/problems/majority-element/,169,majority-element,Majority Element,Easy,,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
07/05/2020,https://leetcode.com/problems/cousins-in-binary-tree/,993,cousins-in-binary-tree,Cousins in Binary Tree,Easy,,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
08/05/2020,https://leetcode.com/problems/check-if-it-is-a-straight-line/,1232,check-if-it-is-a-straight-line,Check If It Is a Straight Line,Easy,,"Array, Math, Geometry"
09/05/2020,https://leetcode.com/problems/valid-perfect-square/,367,valid-perfect-square,Valid Perfect Square,Easy,,"Math, Binary Search"
10/05/2020,https://leetcode.com/problems/find-the-town-judge/,997,find-the-town-judge,Find the Town Judge,Easy,,"Array, Hash Table, Graph"
11/05/2020,https://leetcode.com/problems/flood-fill/,733,flood-fill,Flood Fill,Easy,,"Array, Depth-First Search, Breadth-First Search, Matrix"
