link,questionFrontendId,titleSlug,difficulty,topicTags
https://leetcode.com/problems/merge-k-sorted-lists/,23,merge-k-sorted-lists,Hard,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,28,find-the-index-of-the-first-occurrence-in-a-string,Easy,"Two Pointers, String, String Matching"
https://leetcode.com/problems/n-queens/,51,n-queens,Hard,"Array, Backtracking"
https://leetcode.com/problems/n-queens-ii/,52,n-queens-ii,Hard,Backtracking
https://leetcode.com/problems/text-justification/,68,text-justification,Hard,"Array, String, Simulation"
https://leetcode.com/problems/unique-binary-search-trees-ii/,95,unique-binary-search-trees-ii,Medium,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree"
https://leetcode.com/problems/recover-binary-search-tree/,99,recover-binary-search-tree,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,103,binary-tree-zigzag-level-order-traversal,Medium,"Tree, Breadth-First Search, Binary Tree"
https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,105,construct-binary-tree-from-preorder-and-inorder-traversal,Medium,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,106,construct-binary-tree-from-inorder-and-postorder-traversal,Medium,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,107,binary-tree-level-order-traversal-ii,Medium,"Tree, Breadth-First Search, Binary Tree"
https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,108,convert-sorted-array-to-binary-search-tree,Easy,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,109,convert-sorted-list-to-binary-search-tree,Medium,"Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
https://leetcode.com/problems/binary-tree-maximum-path-sum/,124,binary-tree-maximum-path-sum,Hard,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
https://leetcode.com/problems/palindrome-partitioning/,131,palindrome-partitioning,Medium,"String, Dynamic Programming, Backtracking"
https://leetcode.com/problems/word-break/,139,word-break,Medium,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
https://leetcode.com/problems/word-break-ii/,140,word-break-ii,Hard,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
https://leetcode.com/problems/binary-tree-preorder-traversal/,144,binary-tree-preorder-traversal,Easy,"Stack, Tree, Depth-First Search, Binary Tree"
https://leetcode.com/problems/binary-tree-postorder-traversal/,145,binary-tree-postorder-traversal,Easy,"Stack, Tree, Depth-First Search, Binary Tree"
https://leetcode.com/problems/repeated-dna-sequences/,187,repeated-dna-sequences,Medium,"Hash Table, String, Bit Manipulation, Sliding Window, Rolling Hash, Hash Function"
