date,link,questionFrontendId,titleSlug,title,difficulty,isPaidOnly,status,topicTags
2020-08-01,https://leetcode.com/problems/logger-rate-limiter/,359,logger-rate-limiter,Logger Rate Limiter,Easy,!!!,,"Hash Table, Design, Data Stream"
2020-08-08,https://leetcode.com/problems/closest-binary-search-tree-value/,270,closest-binary-search-tree-value,Closest Binary Search Tree Value,Easy,!!!,,"Binary Search, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
2020-08-15,https://leetcode.com/problems/find-permutation/,484,find-permutation,Find Permutation,Medium,!!!,,"Array, String, Stack, Greedy"
2020-08-22,https://leetcode.com/problems/the-maze/,490,the-maze,The Maze,Medium,!!!,,"Array, Depth-First Search, Breadth-First Search, Matrix"
2020-08-29,https://leetcode.com/problems/robot-room-cleaner/,489,robot-room-cleaner,Robot Room Cleaner,Hard,!!!,,"Backtracking, Interactive"
2020-09-01,https://leetcode.com/problems/read-n-characters-given-read4/,157,read-n-characters-given-read4,Read N Characters Given Read4,Easy,!!!,,"Array, Simulation, Interactive"
2020-09-08,https://leetcode.com/problems/moving-average-from-data-stream/,346,moving-average-from-data-stream,Moving Average from Data Stream,Easy,!!!,,"Array, Design, Queue, Data Stream"
2020-09-15,https://leetcode.com/problems/inorder-successor-in-bst-ii/,510,inorder-successor-in-bst-ii,Inorder Successor in BST II,Medium,!!!,,"Tree, Binary Search Tree, Binary Tree"
2020-09-22,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list/,708,insert-into-a-sorted-circular-linked-list,Insert into a Sorted Circular Linked List,Medium,!!!,,Linked List
2020-09-29,https://leetcode.com/problems/word-squares/,425,word-squares,Word Squares,Hard,!!!,,"Array, String, Backtracking, Trie"
2020-10-01,https://leetcode.com/problems/maximum-distance-in-arrays/,624,maximum-distance-in-arrays,Maximum Distance in Arrays,Medium,,,"Array, Greedy"
2020-10-08,https://leetcode.com/problems/two-sum-iii-data-structure-design/,170,two-sum-iii-data-structure-design,Two Sum III - Data structure design,Easy,!!!,,"Array, Hash Table, Two Pointers, Design, Data Stream"
2020-10-15,https://leetcode.com/problems/meeting-rooms-ii/,253,meeting-rooms-ii,Meeting Rooms II,Medium,!!!,,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
2020-10-22,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size/,702,search-in-a-sorted-array-of-unknown-size,Search in a Sorted Array of Unknown Size,Medium,!!!,,"Array, Binary Search, Interactive"
2020-10-29,https://leetcode.com/problems/encode-n-ary-tree-to-binary-tree/,431,encode-n-ary-tree-to-binary-tree,Encode N-ary Tree to Binary Tree,Hard,!!!,,"Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
2020-11-01,https://leetcode.com/problems/meeting-rooms/,252,meeting-rooms,Meeting Rooms,Easy,!!!,,"Array, Sorting"
2020-11-08,https://leetcode.com/problems/two-sum-less-than-k/,1099,two-sum-less-than-k,Two Sum Less Than K,Easy,!!!,,"Array, Two Pointers, Binary Search, Sorting"
2020-11-15,https://leetcode.com/problems/remove-interval/,1272,remove-interval,Remove Interval,Medium,!!!,,Array
2020-11-22,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/,159,longest-substring-with-at-most-two-distinct-characters,Longest Substring with At Most Two Distinct Characters,Medium,!!!,,"Hash Table, String, Sliding Window"
2020-11-29,https://leetcode.com/problems/maximum-average-subarray-ii/,644,maximum-average-subarray-ii,Maximum Average Subarray II,Hard,!!!,,"Array, Binary Search, Prefix Sum"
2020-12-01,https://leetcode.com/problems/shortest-word-distance/,243,shortest-word-distance,Shortest Word Distance,Easy,!!!,,"Array, String"
2020-12-08,https://leetcode.com/problems/missing-ranges/,163,missing-ranges,Missing Ranges,Easy,!!!,,Array
2020-12-15,https://leetcode.com/problems/plus-one-linked-list/,369,plus-one-linked-list,Plus One Linked List,Medium,!!!,,"Linked List, Math"
